title,price
Carregador Turbo Fonte 20w Usb-c+ Cabo Compatível com iPhone 11 12 13 14 Pro X XR XS,"R$ 22,50"
"Smartphone Motorola Moto G34 128GB Azul 5G 4GB + 4GB RAM Boost 6,5"" Câm. Dupla + Selfie 16MP Dual Chip","R$ 872,10"
Carregador Apple USB-C de 20W Original,"R$ 152,10"
"Smartphone Motorola Moto G24 128GB Rosa 4GB + 4GB RAM Boost 6,6"" Câm. Dupla + Selfie 8MP Dual Chip","R$ 746,10"
"iPhone 12 Apple 64GB Branco Tela 6,1” 12MP iOS","R$ 2.789,10"
"Smartphone Motorola Moto G04s 128GB Coral 4GB RAM 6,6"" Câm 50MP + Selfie 5MP Dual Chip","R$ 719,10"
"Apple iPhone 13 128GB Estelar Tela 6,1” 12MP","R$ 3.699,00"
"Smartphone Samsung Galaxy A15 6,5"" 256GB Azul Escuro 5G 8GB RAM Câm. Tripla 50MP + Selfie 13MP 5000mAh Dual Chip","R$ 1.259,10"
"Smartphone Samsung Galaxy A35 128GB Azul Escuro 5G 6GB RAM 6,6"" Câm. Tripla + Selfie 13MP Dual Chip","R$ 1.574,10"
Relógio Smartwatch S8 pro a prova d'gua envio imediato,"R$ 141,76"
"Smartphone Samsung Galaxy S23 256GB Preto 5G 8GB RAM 6,1” Câm Tripla + Selfie 12MP","R$ 2.898,90"
Usado: Motorola Moto G22 128GB Azul Bom - Trocafone,"R$ 515,14"
"Smartphone Samsung Galaxy A55 128GB Azul Escuro 5G 8GB RAM 6,6"" Câm. Tripla + Selfie 32MP Dual Chip","R$ 1.889,10"
Chip Triplo Corte Claro 5G Pré-Pago Cobertura Nacional,"R$ 9,00"
Smartphone Celular Xiaomi Redmi Note 13 Pro 5G 8GB/256GB Azul - BR - XIAOMI,"R$ 2.318,39"
"Smartphone Motorola Moto E13 64GB Verde 4G Octa-Core 4GB RAM 6,5"" Câm. 13MP + Selfie 5MP Dual Chip","R$ 899,10"
"Smartphone Samsung Galaxy A05s 6,7"" 128GB Preto 6GB RAM Câm. Tripla 50MP + Selfie 8MP Bateria 5000mAh Dual Chip","R$ 809,10"
"Smartphone Samsung Galaxy A55 6.6"" 5G 8GB 128GB Azul Escuro Câmera Tripla 50MP","R$ 1.945,40"
Usado: iPhone XR 64GB Preto Muito Bom - Trocafone,"R$ 1.211,74"
"Smartphone Xiaomi Redmi 12 Dual SIM de 256GB / 8GB RAM de 6.79"" 50 + 8 + 2MP / 8MP - Midinight Black","R$ 1.364,00"
Carregador USB-C de 20W Apple Branco Original - 85044021-2,"R$ 134,38"
"Smartphone Motorola Moto G84 5G 256GB 16GB RAM Boost CâmeraTraseira Dupla 50MP + 8MP Selfie 16MP Tela 6.55"" Grafite","R$ 1.342,15"
Celular do idoso com Internet e WhatsApp 32GB OB056 - Multi,"R$ 268,90"
"Celular Samsung Galaxy A15 128GB, 4GB RAM, Tela Infinita de 6.5""","R$ 899,10"
Chip Triplo Corte Vivo 4G Cobertura Nacional,"R$ 9,89"
Carregador Turbo 30W Fonte USB-C + Cabo Tipo-C P/ Lightning Compatível Todos iPhone - AGold,"R$ 45,23"
"Celular Samsung Galaxy M15 5G, 6.000mAh, Câmera Tripla até 50MP, 128GB","R$ 899,10"
Smartband Samsung Galaxy Fit3 Grafite,"R$ 323,10"
Carregador Turbo Fonte 30w Usb-c+ Cabo Compatível com IPhone 11 12 13 14 Pro X XR XS,"R$ 40,00"
Usado: iPhone XR 128GB Preto Muito Bom - Trocafone,"R$ 1.340,74"
Carregador 20W Turbo Fonte + Cabo USB-C Compatível Iphone 15 15 pro Max e 15 Ultra,"R$ 79,90"
Carregador Turbo 40w Tipo C Compativel para Motorola Samsung E Xiaomi,"R$ 26,78"
"Smartphone Samsung Galaxy A05 128GB Verde 4G Octa-Core 4GB RAM 6,7” Câm. Dupla + Selfie 8MP","R$ 674,10"
"Smartphone Motorola Moto E40 64GB Grafite 4GB RAM Tela 6,5” Câm. Tripla + Selfie 8MP","R$ 599,00"
Celular Smartphone 13c com 256GB de espaço 8GB RAM XlA0Ml,"R$ 1.070,91"
"Smartphone redmi note 13 br 8gb+256gb, preto - XIAOMI","R$ 1.357,03"
Smartphone Xiaomi Redmi 13C 4G 256GB - 8GB Ram (Versao Global) (Clover Green) Verde - Xioami,"R$ 1.187,99"
Suporte Apoio Celular Smartphone Mesa Portátil 360,"R$ 17,01"
Relógio inteligente 2024 Watch 9 Ultra 2 Chat GPT integrado + 7 Pulseiras e película protetora externa GPS,"R$ 183,91"
"Celular Samsung Galaxy M35 5G, Câmera Tripla até 50MP, Selfie 50MP, Tela Super AMOLED + 6.6 120Hz, 256GB, 8GB RAM","R$ 1.269,07"
Xiaomi Redmi 13C Dual SIM 256 GB Preto 8GB RAM,"R$ 1.114,53"
Smartphone Multi F 2 3G 32GB Tela 5.5 pol. Dual Chip 1GB RAM Câmera 5MP + Selfie 5MP Android 11 (Go edition) Quad Core - Dourado - P9174,"R$ 329,90"
Smartphone-Poco-M6 Pro 512GB 12GB Ram Black,"R$ 1.867,60"
"Apple iPhone 15 128GB Preto 6,1"" 48MP iOS 5G","R$ 4.949,10"
Chip TIM,"R$ 11,18"
"Smartphone Positivo S650 Twist 5 Max 128GB Chumbo 4G Octa-Core 2GB RAM 6,5"" Câm. Dupla + Selfie 8MP Dual Chip","R$ 539,10"
Smartphone Xiaomi Redmi 13c 8gb 256gb Preto,"R$ 1.195,08"
Capa para iPhone 14 Pro Max - Rosa - Silicon Cloud - Gshield,"R$ 89,97"
Capa Capinha De Celular Compatível com Galaxy M34 5G Samsung Personalizada,"R$ 19,92"
Película Protetora Frontal 3D de Vidro para Samsung Galaxy M55,"R$ 9,47"
Capa Capinha Anti Impacto Samsung Galaxy A51 Transparente,"R$ 9,49"
Carregador Turbo Original 20W Com Cabo,"R$ 116,47"
Carregador Rapido Celular Smartphone 2 Usb Cabo Micro Usb V8,"R$ 39,90"
Capa Capinha Case A22/M32 Samsung Galaxy Silicone Aveludado,"R$ 9,99"
Kit Capinha Samsung Galaxy A15 + Fone Bluetooth + Pelicula de Vidro 3D Armyshield,"R$ 74,58"
Suporte de braço para celular braçadeira para corrida,"R$ 12,56"
Celular Nokia 110 Dual Sim 32Mb Rádio Fm Câmera Vga Preto,"R$ 155,34"
Carregador Portátil Turbo Power Bank 10.000mah Universal,"R$ 58,66"
Película Traseira Transparente Compatível com iPhone 14 Pro Max,"R$ 13,58"
"Smartphone Moto G34 5G XT2363 128 GB 6,5 Polegadas Motorola","R$ 1.102,40"
Smartphone Realme C53 128GB - 6Gb Ram (Versao Global) (Mighty Black),"R$ 989,99"
Kit Inalação Para Nebulizador/Inalador DC G-tech,"R$ 24,90"
Capinha + Película 3D + Película de Câmera Samsung S20 FE,"R$ 34,11"
Capa Capinha Case Anti Shock Transparente Moto G22,"R$ 14,16"
Capa Case Anti Impactos Para Samsung Galaxy A04E +Pelicula 3D de Vidro Temperado,"R$ 18,03"
Carregador Samsung 25w Galaxy S20+/20ultra Original Preto COD. GH44-03059A,"R$ 154,90"
Smartwatch S9 Ultra Max Série 9 49mm Lançamento 2023+ acessórios,"R$ 208,71"
Kit Proteção Capinha + Pelicula vidro 3D Motorola Moto G04,"R$ 18,98"
Capa de Proteção Acrílica 2in1 Para Galaxy Watch 6 44mm R945,"R$ 29,69"
Capa Capinha + Película Full 3d Para Galaxy M35 M356 Tela 6.6 - Cell In Power25,"R$ 27,99"
Capa Capinha Case Galaxy A11 / A115 Samsung Silicone Aveludado,"R$ 9,99"
Relogio Smartwatch Feminino Preto Serie 8 Whatsapp Facebook Ligação Original,"R$ 128,28"
Relógio Smartwatch Feminino AmazfitBip 5 Com Gps Rosa A2215,"R$ 619,00"
"Capa Supcase UB Style compatível com iPhone 14 Pro 6.1""","R$ 187,00"
Smartphone Xiaomi Redmi Note 13 256GB + 8RAM (Black),"R$ 1.614,00"
Capa Capinha Case Proteção Moto Edge 50 Pro,"R$ 13,29"
Smartphone Motorola Moto G72 Azul 128gb 6gb,"R$ 1.481,11"
Celular alcatel ot-208 CELULAR PARA idoso tela radio fm anatel,"R$ 99,00"
Relógio lançamento Smartwatch K9 PRO 45mm Serie 9 Chamada C/ 2 Pulseiras,"R$ 100,99"
S9 Ultra Preto SmartWatch Relógio Inteligente Com Bluetooth Para Chamadas Envio Já,"R$ 183,78"
Capa Stronger Rosa Para iPhone 8 Plus - Gshield,"R$ 80,97"
Película Hidrogel Frontal Para Xiaomi Redmi Note 13 Pro Plus,"R$ 21,51"
Capinha Compatível com iPhone 15 Pro Max Silicone Aveludada,"R$ 26,13"
Capa Capinha Aveludada Compatível Infinix Smart 8 / 8 Pro,"R$ 46,43"
Usado: Motorola G30 128 GB Lilas - Excelente,"R$ 619,00"
SmartWatch Relógio Inteligente Feminino Elegância Digital,"R$ 323,10"
Usado: Motorola E13 32 GB Offwhite - Bom,"R$ 519,00"
Suporte Adesivo Parede Porta Celular Controle Chaves Carro,"R$ 4,40"
Capa Capinha Carteira Motorola Moto G32 Case Flip,"R$ 19,90"
Capa Capinha Compatível Samsung Galaxy A54 5G Bussola Minimalista GoCase,"R$ 49,87"
Gimbal Estabilizador Gravação Celular Smartphone SK-062,"R$ 365,42"
Capa Transparente Anti Impacto para Samsung Galaxy S24 Ultra,"R$ 14,72"
"Smartphone Nokia G11 Plus 4G 128GB Tela HD+ 6,5” Câm Dupla 50MP Android 12 até 3 dias de Bateria","R$ 719,92"
Película De Vidro Full 3D Curvada Para Moto Edge 40 Neo 5g Xt2307 6.55,"R$ 29,99"
Capa Case Anti Impacto Luxo Para Samsung Galaxy S23 Plus,"R$ 36,10"
Capa Case Capinha para iPhone 15 Normal - Protetora Resistente Anti Impacto Queda Armor Militar Compatível,"R$ 78,90"
Carregador Turbo 120w P todos Os Celulares Com Tipo C X120,"R$ 51,00"
Smartwatch Digital Relógio Inteligente Hw9 Ultra 9 Max Preto Gps Nfc Tela Hd Amoled com Pulseira Extra,"R$ 304,35"
Capa Capinha De Celular Compatível com Moto Edge 50 Fusion Personalizada,"R$ 19,92"
"Apple iPhone 15 Pro 128GB Titânio Azul 6,1"" 48MP iOS 5G","R$ 7.598,70"
"Smartphone Motorola Moto E22 128GB Preto 4G 4GB RAM 6,5"" Câm. Dupla + Selfie 5MP Dual Chip","R$ 989,10"
Smartphone Pocophone X6 PRO 512GB 12GB Cinza 5G,"R$ 3.429,00"
Kit 3 Película Câmera Brilho Glitter Compatível Com iphone 13 pro max tela 6.7 proteger,"R$ 26,00"
Película De Vidro 3D para Samsung Galaxy J8 Tela Toda,"R$ 8,54"
Smartphone Celular Xiaomi POCO X6 Pro 5G 512GB (12GB RAM) Black Preto,"R$ 2.759,99"
Relógio Smartwatch ABD20 Pulseira Inteligente Monitor Cardíaco Pressão Arterial cor: Preto,"R$ 75,99"
Capa De Metal Premium Compatível Para iPhone 12 13 14 15 Pro Max Plus Pro,"R$ 147,00"
Capa Capinha Premium Anti Impacto Para Xiaomi Redmi 13C,"R$ 20,61"
Smartwatch W99+ Plus Watch Serie 9 Relogio Tela Amoled Chatgpt Original,"R$ 253,71"
"Sofá com Carregador USB Retrátil Reclinável Monaco 2,90m Velosuede Areia - NETSOFAS","R$ 1.960,70"
Relógio Smartwatch Inteligente S9 Ultra Preto Série 9 Nfc Gps 49mm Lançamento,"R$ 183,21"
Carregador TURBO Original Lehmox 30W Compativel Para Moto G8 Plus e Moto G8 Play - LE1TYPEC,"R$ 47,49"
Telefone Celular Para Idoso Positivo P26 Com Botoes Grandes Preto Dual SIM Novo Anatel,"R$ 139,99"
Capa Compativel Com Xiaomi Redmi Note 13 Pro 4G + Pelicula Hidrogel,"R$ 47,41"
Smartphone Infinix Hot 40 Pro Preto 256gb 8gb Free Fire Edition,"R$ 1.430,10"
Xiaomi Redmi 13C Dual SIM 128 GB Preto 4 GB RAM,"R$ 1.097,00"
Capa Capinha Samsung S23 Ultra Antishock Transparente,"R$ 21,53"
Usado: iPhone 12 64GB Vermelho Bom - Trocafone,"R$ 2.209,34"
Capa Capinha Case Samsung A8 (2018) / A5 (2018) Silicone Aveludada Colorida Capinha Anti Impacto,"R$ 9,99"
Suporte Celular Saída Ar Carro Magnético 6 Imãs Preto Kimaster,"R$ 17,38"
Capa Capinha Case Proteção Anti Impacto Redmi Note 13 Pro 5g,"R$ 13,99"
"Smartphone Moto G24 4G, 128GB, Tela 6.6"", Câmera Traseira 50 MP + 2 MP, Rosa, MOTOROLA MOTOROLA","R$ 903,76"
Capa Capinha Carteira Motorola Moto G24 Case Flip,"R$ 20,90"
"Smartphone Motorola Moto E40 64GB Rosê 4GB RAM Tela 6,5” Câm. Tripla + Selfie 8MP","R$ 2.500,00"
Capa MagSafe para Samsung Galaxy S23 - Transparente -Gshield,"R$ 98,97"
"Smartphone Samsung Galaxy A14 128GB, 4GB RAM Câmera Tripla 50MP +5MP + 2MP Tela infinita 6.6""","R$ 999,99"
Capa Capinha para NOVO Moto G14 Anti Impactos Transparente,"R$ 16,12"
Kit LT Suporte Limpa Tudo + Cabo 55 cm + Fibras 1 Verde Multiuso + 1 Verde Pesada + 1 Macia Branca Para Banheiro Casa,"R$ 33,95"
Suporte Tripé de Mesa Apoio Celular Smartphone Portátil 360,"R$ 22,99"
